id,name,label,companyId
29,Laptops,laptops,53
30,Desktops,desktops,53
31,Monitors,monitors,53
32,Keyboards,keyboards,53
33,Mice,mice,53
34,Printers,printers,53
35,Scanners,scanners,53
36,External hard drives,external-hard-drives,53
37,USB drives,usb-drives,53
38,Routers,routers,53
39,Switches,switches,53
40,Modems,modems,53
41,Network cables,network-cables,53
42,Smartphones,smartphones,53
43,Tablets,tablets,53
44,Projectors,projectors,53
45,Video conferencing equipment,video-conferencing-equipment,53
46,Speakers,speakers,53
47,Microphones,microphones,53
48,Desks,desks,53
50,Filing cabinets,filing-cabinets,53
51,Conference tables,conference-tables,53
52,Stationery,stationery,53
53,First aid kits,first-aid-kits,53
54,Fire extinguishers,fire-extinguishers,53
55,Mouse,mouse,53
56,Chairs,chairs,53
