id,name,label,companyId,departmentHeadId,email,parentDepartmentId,deletedAt
64,Internal Audit,internal-audit,53,,aud@snapdemo.com,,
65,App Development,app-development,53,,appDev@snapdemo.com,,
66,Business Development,business-development,53,,sales@snapdemo.com,,
67,Office of the CEO,office-of-the-ceo,53,,ceooffice@snapdemo.com,,
68,Finance & Account,finance-&-account,53,,fa@snapnetdemo.com,,
69,Corporate Services,corporate-services,53,,corserv@snapnetdemo.com,,
70,Legal Services,legal-services,53,,legal@snapdemo.com,,
71,Internal Control & Audit,internal-control-&-audit,53,,audit@snapdemo.com,67.0,
72,Supply Chain,supply-chain,53,,supplychain@snapdemo.com,,
73,IT,it,53,,it@snapdemo.com,,
74,HR ,hr-,53,,hr@snapdemo.com,69.0,
75,Admin,admin,53,,admin@snapdemo.com,69.0,
76,Project Management,project-management,53,,projects@snapdemo.com,,
